region,zone,district,Month,Year,date,test_performed,confirmed_all,confirmed_u5,confirmed_5_14,confirmed_15,population,pop_5,pop_514,pop_15,war_affected_regions,war_affected_zones,war_affected_districts
Amhara,Awi,Ayehu Guwagusa,April,2021,2021-04-01,886,94,9,17,68,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,May,2021,2021-05-01,1084,160,19,29,112,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,June,2021,2021-06-01,1475,311,32,76,203,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,July,2019,2019-07-01,297,67,0,0,67,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,August,2019,2019-08-01,175,53,0,2,51,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,September,2019,2019-09-01,343,126,1,0,125,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,October,2019,2019-10-01,227,93,1,1,91,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,November,2019,2019-11-01,400,130,2,4,124,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,December,2019,2019-12-01,307,108,1,0,107,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,January,2019,2019-01-01,283,69,0,0,69,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,February,2019,2019-02-01,341,71,2,0,69,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,March,2019,2019-03-01,363,78,0,2,76,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,April,2019,2019-04-01,404,50,0,0,50,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,May,2019,2019-05-01,980,218,7,29,182,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,June,2019,2019-06-01,1403,245,27,68,150,101777.4744,14709.33636,25556.15772,61511.98032,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,July,2020,2020-07-01,1184,158,10,43,105,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,August,2020,2020-08-01,714,110,12,17,81,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,September,2020,2020-09-01,1139,182,10,24,148,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,October,2020,2020-10-01,996,115,3,7,105,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,November,2020,2020-11-01,1546,190,6,11,173,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,December,2020,2020-12-01,988,100,3,11,86,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,January,2020,2020-01-01,488,84,1,10,73,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,February,2020,2020-02-01,739,47,2,5,40,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,March,2020,2020-03-01,988,61,4,5,52,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,April,2020,2020-04-01,428,32,1,2,29,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,May,2020,2020-05-01,505,25,0,2,23,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,June,2020,2020-06-01,701,42,2,2,38,103400.259,14943.86846,25963.63629,62492.75426,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,July,2021,2021-07-01,504,36,0,0,36,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,August,2021,2021-08-01,461,41,0,0,41,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,September,2021,2021-09-01,587,49,0,2,47,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,October,2021,2021-10-01,826,65,1,2,62,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,November,2021,2021-11-01,815,71,3,1,67,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,December,2021,2021-12-01,756,71,1,0,70,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,January,2021,2021-01-01,395,52,0,1,51,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,February,2021,2021-02-01,796,19,0,0,19,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,March,2021,2021-03-01,725,25,1,0,24,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,April,2021,2021-04-01,898,26,0,1,25,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,May,2021,2021-05-01,1001,45,2,0,43,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Banja,June,2021,2021-06-01,746,40,0,1,39,105006.3257,15175.98441,26366.91701,63463.42428,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,July,2019,2019-07-01,769,21,3,3,15,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,August,2019,2019-08-01,701,15,0,2,13,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,September,2019,2019-09-01,1554,85,11,7,67,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,October,2019,2019-10-01,1894,184,30,30,124,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,November,2019,2019-11-01,2522,204,37,39,128,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,December,2019,2019-12-01,2499,228,43,34,151,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,January,2019,2019-01-01,810,23,0,2,21,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,February,2019,2019-02-01,1706,96,23,7,66,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,March,2019,2019-03-01,1966,60,17,6,37,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,April,2019,2019-04-01,1650,51,12,14,25,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,May,2019,2019-05-01,2561,278,62,68,148,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,June,2019,2019-06-01,1097,87,17,32,38,39946.32925,5773.222383,10030.45808,24142.64878,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,July,2020,2020-07-01,1474,95,18,31,46,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,August,2020,2020-08-01,2289,176,23,39,114,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,September,2020,2020-09-01,2020,109,18,29,62,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,October,2020,2020-10-01,2541,197,16,27,154,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,November,2020,2020-11-01,4000,240,29,33,178,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,December,2020,2020-12-01,2318,189,21,25,143,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
